code;city
3953;Bairnsdale & Gippsland VIC
3954;Bairnsdale & Gippsland VIC
3956;Bairnsdale & Gippsland VIC
3958;Bairnsdale & Gippsland VIC
3959;Bairnsdale & Gippsland VIC
3960;Bairnsdale & Gippsland VIC
3962;Bairnsdale & Gippsland VIC
3964;Bairnsdale & Gippsland VIC
3965;Bairnsdale & Gippsland VIC
3966;Bairnsdale & Gippsland VIC
3967;Bairnsdale & Gippsland VIC
3971;Bairnsdale & Gippsland VIC
3987;Bairnsdale & Gippsland VIC
3988;Bairnsdale & Gippsland VIC
3321;Ballarat & Central Highlands VIC
3322;Ballarat & Central Highlands VIC
3328;Ballarat & Central Highlands VIC
3329;Ballarat & Central Highlands VIC
3330;Ballarat & Central Highlands VIC
3331;Ballarat & Central Highlands VIC
3332;Ballarat & Central Highlands VIC
3333;Ballarat & Central Highlands VIC
3350;Ballarat & Central Highlands VIC
3351;Ballarat & Central Highlands VIC
3352;Ballarat & Central Highlands VIC
3355;Ballarat & Central Highlands VIC
3356;Ballarat & Central Highlands VIC
3357;Ballarat & Central Highlands VIC
3360;Ballarat & Central Highlands VIC
3373;Ballarat & Central Highlands VIC
3375;Ballarat & Central Highlands VIC
3377;Ballarat & Central Highlands VIC
3378;Ballarat & Central Highlands VIC
3467;Ballarat & Central Highlands VIC
3468;Ballarat & Central Highlands VIC
3469;Ballarat & Central Highlands VIC
4157;Bayside & Eastern Suburbs Brisbane QLD
4158;Bayside & Eastern Suburbs Brisbane QLD
4159;Bayside & Eastern Suburbs Brisbane QLD
4160;Bayside & Eastern Suburbs Brisbane QLD
4161;Bayside & Eastern Suburbs Brisbane QLD
4163;Bayside & Eastern Suburbs Brisbane QLD
4164;Bayside & Eastern Suburbs Brisbane QLD
4165;Bayside & Eastern Suburbs Brisbane QLD
4183;Bayside & Eastern Suburbs Brisbane QLD
4184;Bayside & Eastern Suburbs Brisbane QLD
3145;Bayside & South Eastern Suburbs Melbourne VIC
3161;Bayside & South Eastern Suburbs Melbourne VIC
3162;Bayside & South Eastern Suburbs Melbourne VIC
3163;Bayside & South Eastern Suburbs Melbourne VIC
3165;Bayside & South Eastern Suburbs Melbourne VIC
3167;Bayside & South Eastern Suburbs Melbourne VIC
3169;Bayside & South Eastern Suburbs Melbourne VIC
3171;Bayside & South Eastern Suburbs Melbourne VIC
3172;Bayside & South Eastern Suburbs Melbourne VIC
3173;Bayside & South Eastern Suburbs Melbourne VIC
3174;Bayside & South Eastern Suburbs Melbourne VIC
3175;Bayside & South Eastern Suburbs Melbourne VIC
3177;Bayside & South Eastern Suburbs Melbourne VIC
3185;Bayside & South Eastern Suburbs Melbourne VIC
3186;Bayside & South Eastern Suburbs Melbourne VIC
3187;Bayside & South Eastern Suburbs Melbourne VIC
3188;Bayside & South Eastern Suburbs Melbourne VIC
3189;Bayside & South Eastern Suburbs Melbourne VIC
3190;Bayside & South Eastern Suburbs Melbourne VIC
3191;Bayside & South Eastern Suburbs Melbourne VIC
3192;Bayside & South Eastern Suburbs Melbourne VIC
3193;Bayside & South Eastern Suburbs Melbourne VIC
3194;Bayside & South Eastern Suburbs Melbourne VIC
3195;Bayside & South Eastern Suburbs Melbourne VIC
3196;Bayside & South Eastern Suburbs Melbourne VIC
3197;Bayside & South Eastern Suburbs Melbourne VIC
3198;Bayside & South Eastern Suburbs Melbourne VIC
3199;Bayside & South Eastern Suburbs Melbourne VIC
3200;Bayside & South Eastern Suburbs Melbourne VIC
3201;Bayside & South Eastern Suburbs Melbourne VIC
3202;Bayside & South Eastern Suburbs Melbourne VIC
3204;Bayside & South Eastern Suburbs Melbourne VIC
3802;Bayside & South Eastern Suburbs Melbourne VIC
3803;Bayside & South Eastern Suburbs Melbourne VIC
3804;Bayside & South Eastern Suburbs Melbourne VIC
3805;Bayside & South Eastern Suburbs Melbourne VIC
3806;Bayside & South Eastern Suburbs Melbourne VIC
3910;Bayside & South Eastern Suburbs Melbourne VIC
3975;Bayside & South Eastern Suburbs Melbourne VIC
3976;Bayside & South Eastern Suburbs Melbourne VIC
3977;Bayside & South Eastern Suburbs Melbourne VIC
3978;Bayside & South Eastern Suburbs Melbourne VIC
3980;Bayside & South Eastern Suburbs Melbourne VIC
3334;Bendigo, Goldfields & Macedon Ranges VIC
